Date : 2022-12-01 15:19:54
Directory : d:\CodeBase\satori-os
Total : 110 files,  5146 codes, 441 comments, 927 blanks, all 6514 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C            |         61 |      4,219 |        424 |        596 |      5,239 |
| C++          |         18 |        293 |          4 |        105 |        402 |
| Makefile     |         14 |        258 |          0 |         86 |        344 |
| Markdown     |         13 |        183 |          0 |        116 |        299 |
| Python       |          1 |        112 |          0 |         16 |        128 |
| Shell Script |          2 |         65 |         13 |          7 |         85 |
| CSV          |          1 |         16 |          0 |          1 |         17 |
+--------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------+------------+------------+------------+------------+------------+
| path                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                |        110 |      5,146 |        441 |        927 |      6,514 |
| include                                          |         40 |      1,577 |        141 |        387 |      2,105 |
| include\app                                      |          1 |          4 |          0 |          2 |          6 |
| include\arch                                     |          3 |        211 |         17 |         49 |        277 |
| include\boot                                     |          1 |         81 |          6 |         20 |        107 |
| include\config                                   |          2 |        274 |         16 |         20 |        310 |
| include\drivers                                  |          5 |        335 |         29 |         82 |        446 |
| include\fs                                       |          6 |         56 |          1 |         22 |         79 |
| include\io                                       |          5 |         98 |          0 |         32 |        130 |
| include\lib                                      |          3 |        118 |          0 |         37 |        155 |
| include\mm                                       |          9 |        145 |          0 |         54 |        199 |
| include\shell                                    |          3 |         50 |          0 |         14 |         64 |
| include\temp                                     |          1 |        178 |         72 |         47 |        297 |
| kernel                                           |         62 |      3,341 |        287 |        506 |      4,134 |
| kernel\app                                       |          3 |         77 |         20 |         10 |        107 |
| kernel\boot                                      |          2 |        161 |         16 |         36 |        213 |
| kernel\config                                    |          4 |        189 |          6 |         24 |        219 |
| kernel\drivers                                   |          5 |        209 |          4 |         32 |        245 |
| kernel\fs                                        |          4 |        283 |          3 |         35 |        321 |
| kernel\io                                        |          4 |        245 |          8 |         33 |        286 |
| kernel\lib                                       |          4 |        778 |         43 |         67 |        888 |
