"filename", "language", "Markdown", "Shell Script", "CSV", "Makefile", "C", "Python", "C++", "comment", "blank", "total"
"d:\CodeBase\satori-os\kernel\drivers\ansi.c", "C", 0, 0, 0, 0, 33, 0, 0, 0, 7, 40
"d:\CodeBase\satori-os\kernel\drivers\driver.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\CodeBase\satori-os\kernel\drivers\kbd.c", "C", 0, 0, 0, 0, 117, 0, 0, 2, 13, 132
"d:\CodeBase\satori-os\kernel\drivers\rtx.c", "C", 0, 0, 0, 0, 70, 0, 0, 3, 9, 82
"d:\CodeBase\satori-os\kernel\entry.c", "C", 0, 0, 0, 0, 33, 0, 0, 4, 6, 43
"d:\CodeBase\satori-os\kernel\fs\Makefile", "Makefile", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\fs\filesys.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 12, 24
"d:\CodeBase\satori-os\kernel\fs\fs-old.c", "C", 0, 0, 0, 0, 253, 0, 0, 3, 16, 272
"d:\CodeBase\satori-os\kernel\fs\fs.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\io\Makefile", "Makefile", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\io\kbdin.c", "C", 0, 0, 0, 0, 49, 0, 0, 0, 6, 55
"d:\CodeBase\satori-os\kernel\io\stdin.c", "C", 0, 0, 0, 0, 70, 0, 0, 7, 10, 87
"d:\CodeBase\satori-os\kernel\io\stdout.c", "C", 0, 0, 0, 0, 109, 0, 0, 1, 11, 121
"d:\CodeBase\satori-os\kernel\isp\Makefile", "Makefile", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\isp\asm.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\isp\exec.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\isp\prep.c", "C", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\CodeBase\satori-os\kernel\kernel.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\CodeBase\satori-os\kernel\lib\Makefile", "Makefile", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\lib\buffer.c", "C", 0, 0, 0, 0, 113, 0, 0, 1, 13, 127
"d:\CodeBase\satori-os\kernel\lib\string.c", "C", 0, 0, 0, 0, 118, 0, 0, 10, 9, 137
