Date : 2022-11-26 12:38:16
Directory : d:\CodeBase\satori-os
Total : 89 files,  3899 codes, 375 comments, 689 blanks, all 4963 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\CodeBase\satori-os\kernel\config\config.md    | Markdown     |          0 |          0 |          1 |          1 |
| d:\CodeBase\satori-os\kernel\config\info.c       | C            |         25 |          0 |          9 |         34 |
| d:\CodeBase\satori-os\kernel\drivers\Makefile    | Makefile     |         18 |          0 |          6 |         24 |
| d:\CodeBase\satori-os\kernel\drivers\driver.md   | Markdown     |          1 |          0 |          1 |          2 |
| d:\CodeBase\satori-os\kernel\drivers\kbd.c       | C            |        120 |         12 |         16 |        148 |
| d:\CodeBase\satori-os\kernel\drivers\kbdmap.c    | C            |        146 |          6 |          7 |        159 |
| d:\CodeBase\satori-os\kernel\entry.c             | C            |         25 |          3 |          8 |         36 |
| d:\CodeBase\satori-os\kernel\fs\Makefile         | Makefile     |         18 |          0 |          6 |         24 |
| d:\CodeBase\satori-os\kernel\fs\fs.c             | C            |        253 |          3 |         16 |        272 |
| d:\CodeBase\satori-os\kernel\kernel.md           | Markdown     |          2 |          0 |          2 |          4 |
| d:\CodeBase\satori-os\kernel\mm\Makefile         | Makefile     |         18 |          0 |          6 |         24 |
| d:\CodeBase\satori-os\kernel\mm\bitmap.c         | C            |         76 |          2 |          6 |         84 |
| d:\CodeBase\satori-os\kernel\mm\buddy.c          | C            |        122 |          2 |         10 |        134 |
| d:\CodeBase\satori-os\kernel\mm\cache.c          | C            |          0 |          0 |          1 |          1 |
| d:\CodeBase\satori-os\kernel\mm\kmalloc.c        | C            |         31 |          0 |          5 |         36 |
| d:\CodeBase\satori-os\kernel\mm\malloc.c         | C            |         37 |          0 |          4 |         41 |
| d:\CodeBase\satori-os\kernel\mm\mem_block.c      | C            |          1 |          7 |          4 |         12 |
| d:\CodeBase\satori-os\kernel\mm\memory.md        | Markdown     |         68 |          0 |         56 |        124 |
| d:\CodeBase\satori-os\kernel\mm\mm.c             | C            |         37 |         29 |          8 |         74 |
| d:\CodeBase\satori-os\kernel\mm\page.c           | C            |          0 |         24 |          1 |         25 |
| d:\CodeBase\satori-os\kernel\mm\slab.c           | C            |         15 |          6 |          3 |         24 |
| d:\CodeBase\satori-os\kernel\mm\sys_heap.c       | C            |         58 |          0 |          8 |         66 |
| d:\CodeBase\satori-os\kernel\mm\tlb.c            | C            |          0 |         57 |          9 |         66 |
| d:\CodeBase\satori-os\kernel\sched\Makefile      | Makefile     |         18 |          0 |          6 |         24 |
| d:\CodeBase\satori-os\kernel\sched\sched.c       | C            |          2 |          4 |          2 |          8 |
| d:\CodeBase\satori-os\kernel\sched\sched.md      | Markdown     |          2 |          0 |          2 |          4 |
| d:\CodeBase\satori-os\kernel\shell\Makefile      | Makefile     |         18 |          0 |          6 |         24 |
| d:\CodeBase\satori-os\kernel\shell\cmd.c         | C            |        254 |          0 |          1 |        255 |
| d:\CodeBase\satori-os\kernel\shell\impl.c        | C            |         61 |          0 |          5 |         66 |
| d:\CodeBase\satori-os\kernel\shell\parser.c      | C            |        101 |          7 |          9 |        117 |
| d:\CodeBase\satori-os\kernel\shell\shell.c       | C            |         57 |          2 |          6 |         65 |
| d:\CodeBase\satori-os\kernel\shell\shell.md      | Markdown     |          0 |          0 |          1 |          1 |
| d:\CodeBase\satori-os\kernel\sys\Makefile        | Makefile     |         18 |          0 |          6 |         24 |
| d:\CodeBase\satori-os\kernel\sys\sys.c           | C            |          0 |          0 |          1 |          1 |
| d:\CodeBase\satori-os\kernel\sys\syscall.md      | Markdown     |          0 |          0 |          1 |          1 |
| d:\CodeBase\satori-os\kernel\sysio\Makefile      | Makefile     |         18 |          0 |          6 |         24 |
| d:\CodeBase\satori-os\kernel\sysio\buffer.c      | C            |         74 |          1 |         12 |         87 |
| d:\CodeBase\satori-os\kernel\sysio\io.c          | C            |        118 |         10 |         15 |        143 |
| d:\CodeBase\satori-os\kernel\trap\Makefile       | Makefile     |         18 |          0 |          6 |         24 |
| d:\CodeBase\satori-os\kernel\trap\extioi.c       | C            |         19 |          6 |          7 |         32 |
| d:\CodeBase\satori-os\kernel\trap\ls7a_intc.c    | C            |         18 |          6 |          8 |         32 |
| d:\CodeBase\satori-os\kernel\trap\pckbd.c        | C            |         31 |         10 |         10 |         51 |
| d:\CodeBase\satori-os\kernel\trap\trap.c         | C            |        162 |         18 |         23 |        203 |
| d:\CodeBase\satori-os\kernel\trap\trap.md        | Markdown     |          3 |          0 |          2 |          5 |
| d:\CodeBase\satori-os\kernel\utils\Makefile      | Makefile     |         18 |          0 |          6 |         24 |
| d:\CodeBase\satori-os\kernel\utils\mem.c         | C            |         34 |          0 |          3 |         37 |
| d:\CodeBase\satori-os\kernel\utils\string.c      | C            |         85 |         10 |          6 |        101 |
| d:\CodeBase\satori-os\notes.md                   | Markdown     |          0 |          0 |          2 |          2 |
| d:\CodeBase\satori-os\run_loongarch.sh           | Shell Script |         61 |         13 |          6 |         80 |
| d:\CodeBase\satori-os\start.sh                   | Shell Script |          4 |          0 |          1 |          5 |
| d:\CodeBase\satori-os\tools\mmp.csv              | CSV          |         16 |          0 |          1 |         17 |
| d:\CodeBase\satori-os\tools\vis_mmap.py          | Python       |        112 |          0 |         16 |        128 |
| Total                                            |              |      3,899 |        375 |        689 |      4,963 |
+--------------------------------------------------+--------------+------------+------------+------------+------------+
