"filename", "language", "Markdown", "Shell Script", "Makefile", "C", "Python", "C++", "CSV", "comment", "blank", "total"
"d:\CodeBase\satori-os\include\shell\parser.h", "C++", 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"d:\CodeBase\satori-os\include\shell\shell.h", "C", 0, 0, 0, 29, 0, 0, 0, 0, 10, 39
"d:\CodeBase\satori-os\include\temp\larchintrin.h", "C", 0, 0, 0, 178, 0, 0, 0, 72, 47, 297
"d:\CodeBase\satori-os\include\types.h", "C", 0, 0, 0, 26, 0, 0, 0, 0, 7, 33
"d:\CodeBase\satori-os\include\vpu\exec.h", "C++", 0, 0, 0, 0, 0, 22, 0, 0, 7, 29
"d:\CodeBase\satori-os\include\vpu\instr.h", "C++", 0, 0, 0, 0, 0, 38, 0, 8, 2, 48
"d:\CodeBase\satori-os\include\vpu\vdt.h", "C++", 0, 0, 0, 0, 0, 52, 0, 0, 9, 61
"d:\CodeBase\satori-os\include\vpu\vmmu.h", "C++", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"d:\CodeBase\satori-os\include\vpu\vpu.h", "C++", 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"d:\CodeBase\satori-os\include\vpu\vpu.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 0, 13, 28
"d:\CodeBase\satori-os\kernel\Makefile", "Makefile", 0, 0, 31, 0, 0, 0, 0, 0, 10, 41
"d:\CodeBase\satori-os\kernel\app\Makefile", "Makefile", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\app\tester.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\app\vim.c", "C", 0, 0, 0, 104, 0, 0, 0, 19, 5, 128
"d:\CodeBase\satori-os\kernel\boot\Makefile", "Makefile", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\boot\boot_param.c", "C", 0, 0, 0, 143, 0, 0, 0, 16, 30, 189
"d:\CodeBase\satori-os\kernel\config\Makefile", "Makefile", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\config\config.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\config\info.c", "C", 0, 0, 0, 25, 0, 0, 0, 0, 9, 34
"d:\CodeBase\satori-os\kernel\config\keymap.c", "C", 0, 0, 0, 146, 0, 0, 0, 6, 8, 160
"d:\CodeBase\satori-os\kernel\drivers\Makefile", "Makefile", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\drivers\ansi.c", "C", 0, 0, 0, 33, 0, 0, 0, 0, 7, 40
"d:\CodeBase\satori-os\kernel\drivers\driver.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\CodeBase\satori-os\kernel\drivers\kbd.c", "C", 0, 0, 0, 117, 0, 0, 0, 2, 13, 132
"d:\CodeBase\satori-os\kernel\drivers\rtx.c", "C", 0, 0, 0, 70, 0, 0, 0, 3, 9, 82
"d:\CodeBase\satori-os\kernel\entry.c", "C", 0, 0, 0, 18, 0, 0, 0, 4, 6, 28
